         alpha           beta              h                       eigenvalue_1                       eigenvalue_2    stability_status
    0.33000000     0.25812030    -0.99900000           (-0.02559008,0.99967252)          (-0.02559008,-0.99967252)              stable
    0.33000000     0.25812030    -0.94905000           (-0.03980926,0.99920730)          (-0.03980926,-0.99920730)              stable
    0.33000000     0.25812030    -0.89910000           (-0.05390215,0.99854622)          (-0.05390215,-0.99854622)              stable
    0.33000000     0.25812030    -0.84915000           (-0.06786979,0.99769419)          (-0.06786979,-0.99769419)              stable
    0.33000000     0.25812030    -0.79920000           (-0.08171350,0.99665586)          (-0.08171350,-0.99665586)              stable
    0.33000000     0.25812030    -0.74925000           (-0.09543494,0.99543567)          (-0.09543494,-0.99543567)              stable
    0.33000000     0.25812030    -0.69930000           (-0.10903615,0.99403778)          (-0.10903615,-0.99403778)              stable
    0.33000000     0.25812030    -0.64935000           (-0.12251963,0.99246609)          (-0.12251963,-0.99246609)              stable
    0.33000000     0.25812030    -0.59940000           (-0.13588840,0.99072415)          (-0.13588840,-0.99072415)              stable
    0.33000000     0.25812030    -0.54945000           (-0.14914612,0.98881517)          (-0.14914612,-0.98881517)              stable
    0.33000000     0.25812030    -0.49950000           (-0.16229717,0.98674193)          (-0.16229717,-0.98674193)              stable
    0.33000000     0.25812030    -0.44955000           (-0.17534681,0.98450673)          (-0.17534681,-0.98450673)              stable
    0.33000000     0.25812030    -0.39960000           (-0.18830132,0.98211130)          (-0.18830132,-0.98211130)              stable
    0.33000000     0.25812030    -0.34965000           (-0.20116820,0.97955671)          (-0.20116820,-0.97955671)              stable
    0.33000000     0.25812030    -0.29970000           (-0.21395643,0.97684320)          (-0.21395643,-0.97684320)              stable
    0.33000000     0.25812030    -0.24975000           (-0.22667674,0.97397005)          (-0.22667674,-0.97397005)              stable
    0.33000000     0.25812030    -0.19980000           (-0.23934200,0.97093533)          (-0.23934200,-0.97093533)              stable
    0.33000000     0.25812030    -0.14985000           (-0.25196766,0.96773565)          (-0.25196766,-0.96773565)              stable
    0.33000000     0.25812030    -0.09990000           (-0.26457236,0.96436584)          (-0.26457236,-0.96436584)              stable
    0.33000000     0.25812030    -0.04995000           (-0.27717865,0.96081840)          (-0.27717865,-0.96081840)              stable
    0.33000000     0.25812030     0.00000000           (-0.28981393,0.95708301)          (-0.28981393,-0.95708301)              stable
    0.33000000     0.25812030     0.04995000           (-0.30251175,0.95314566)          (-0.30251175,-0.95314566)              stable
    0.33000000     0.25812030     0.09990000           (-0.31531336,0.94898761)          (-0.31531336,-0.94898761)              stable
    0.33000000     0.25812030     0.14985000           (-0.32826994,0.94458395)          (-0.32826994,-0.94458395)              stable
    0.33000000     0.25812030     0.19980000           (-0.34144551,0.93990157)          (-0.34144551,-0.93990157)              stable
    0.33000000     0.25812030     0.24975000           (-0.35492096,0.93489631)          (-0.35492096,-0.93489631)              stable
    0.33000000     0.25812030     0.29970000           (-0.36879975,0.92950887)          (-0.36879975,-0.92950887)              stable
    0.33000000     0.25812030     0.34965000           (-0.38321590,0.92365880)          (-0.38321590,-0.92365880)              stable
    0.33000000     0.25812030     0.39960000           (-0.39834587,0.91723528)          (-0.39834587,-0.91723528)              stable
    0.33000000     0.25812030     0.44955000           (-0.41442627,0.91008289)          (-0.41442627,-0.91008289)              stable
    0.33000000     0.25812030     0.49950000           (-0.43178139,0.90197829)          (-0.43178139,-0.90197829)              stable
    0.33000000     0.25812030     0.54945000           (-0.45086749,0.89259090)          (-0.45086749,-0.89259090)              stable
    0.33000000     0.25812030     0.59940000           (-0.47234728,0.88141253)          (-0.47234728,-0.88141253)              stable
    0.33000000     0.25812030     0.64935000           (-0.49722222,0.86762323)          (-0.49722222,-0.86762323)              stable
    0.33000000     0.25812030     0.69930000           (-0.52708353,0.84981348)          (-0.52708353,-0.84981348)              stable
    0.33000000     0.25812030     0.74925000           (-0.56463164,0.82534303)          (-0.56463164,-0.82534303)              stable
    0.33000000     0.25812030     0.79920000           (-0.61488197,0.78861915)          (-0.61488197,-0.78861915)              stable
    0.33000000     0.25812030     0.84915000           (-0.68845994,0.72527437)          (-0.68845994,-0.72527437)              stable
    0.33000000     0.25812030     0.89910000           (-0.81321579,0.58196226)          (-0.81321579,-0.58196226)              stable
    0.33000000     0.25812030     0.94905000           (-0.64104690,0.00000000)           (-1.55994825,0.00000000)            unstable
    0.33000000     0.25812030     0.99900000           (-0.06547319,0.00000000)          (-15.27342696,0.00000000)            unstable
    0.33000000     0.25812030     1.00100000           (-0.06558191,0.00000000)          (-15.24810615,0.00000000)            unstable
    0.33000000     0.25812030     1.06099000           (-0.96489392,0.26263991)          (-0.96489392,-0.26263991)              stable
    0.33000000     0.25812030     1.12098000           (-0.69783904,0.71625461)          (-0.69783904,-0.71625461)              stable
    0.33000000     0.25812030     1.18097000           (-0.58340762,0.81217951)          (-0.58340762,-0.81217951)              stable
    0.33000000     0.25812030     1.24096000           (-0.51764255,0.85559698)          (-0.51764255,-0.85559698)              stable
    0.33000000     0.25812030     1.30095000           (-0.47439291,0.88031322)          (-0.47439291,-0.88031322)              stable
    0.33000000     0.25812030     1.36094000           (-0.44362010,0.89621493)          (-0.44362010,-0.89621493)              stable
    0.33000000     0.25812030     1.42093000           (-0.42055587,0.90726664)          (-0.42055587,-0.90726664)              stable
    0.33000000     0.25812030     1.48092000           (-0.40261625,0.91536886)          (-0.40261625,-0.91536886)              stable
    0.33000000     0.25812030     1.54091000           (-0.38826842,0.92154633)          (-0.38826842,-0.92154633)              stable
    0.33000000     0.25812030     1.60090000           (-0.37654087,0.92640001)          (-0.37654087,-0.92640001)              stable
    0.33000000     0.25812030     1.66089000           (-0.36678587,0.93030539)          (-0.36678587,-0.93030539)              stable
    0.33000000     0.25812030     1.72088000           (-0.35855389,0.93350903)          (-0.35855389,-0.93350903)              stable
    0.33000000     0.25812030     1.78087000           (-0.35152268,0.93617937)          (-0.35152268,-0.93617937)              stable
    0.33000000     0.25812030     1.84086000           (-0.34545488,0.93843536)          (-0.34545488,-0.93843536)              stable
    0.33000000     0.25812030     1.90085000           (-0.34017168,0.94036335)          (-0.34017168,-0.94036335)              stable
    0.33000000     0.25812030     1.96084000           (-0.33553574,0.94202748)          (-0.33553574,-0.94202748)              stable
    0.33000000     0.25812030     2.02083000           (-0.33143980,0.94347637)          (-0.33143980,-0.94347637)              stable
    0.33000000     0.25812030     2.08082000           (-0.32779882,0.94474755)          (-0.32779882,-0.94474755)              stable
    0.33000000     0.25812030     2.14081000           (-0.32454454,0.94587041)          (-0.32454454,-0.94587041)              stable
