         alpha           beta              h                       eigenvalue_1                       eigenvalue_2    stability_status
    0.51000000     0.34774834    -0.99900000           (-0.27873824,0.96036712)          (-0.27873824,-0.96036712)              stable
    0.51000000     0.34774834    -0.94905000           (-0.31118670,0.95034880)          (-0.31118670,-0.95034880)              stable
    0.51000000     0.34774834    -0.89910000           (-0.34395320,0.93898679)          (-0.34395320,-0.93898679)              stable
    0.51000000     0.34774834    -0.84915000           (-0.37706426,0.92618710)          (-0.37706426,-0.92618710)              stable
    0.51000000     0.34774834    -0.79920000           (-0.41054916,0.91183846)          (-0.41054916,-0.91183846)              stable
    0.51000000     0.34774834    -0.74925000           (-0.44444029,0.89580848)          (-0.44444029,-0.89580848)              stable
    0.51000000     0.34774834    -0.69930000           (-0.47877357,0.87793842)          (-0.47877357,-0.87793842)              stable
    0.51000000     0.34774834    -0.64935000           (-0.51358899,0.85803633)          (-0.51358899,-0.85803633)              stable
    0.51000000     0.34774834    -0.59940000           (-0.54893115,0.83586757)          (-0.54893115,-0.83586757)              stable
    0.51000000     0.34774834    -0.54945000           (-0.58484997,0.81114149)          (-0.58484997,-0.81114149)              stable
    0.51000000     0.34774834    -0.49950000           (-0.62140152,0.78349228)          (-0.62140152,-0.78349228)              stable
    0.51000000     0.34774834    -0.44955000           (-0.65864899,0.75245034)          (-0.65864899,-0.75245034)              stable
    0.51000000     0.34774834    -0.39960000           (-0.69666386,0.71739770)          (-0.69666386,-0.71739770)              stable
    0.51000000     0.34774834    -0.34965000           (-0.73552735,0.67749504)          (-0.73552735,-0.67749504)              stable
    0.51000000     0.34774834    -0.29970000           (-0.77533209,0.63155376)          (-0.77533209,-0.63155376)              stable
    0.51000000     0.34774834    -0.24975000           (-0.81618431,0.57779163)          (-0.81618431,-0.57779163)              stable
    0.51000000     0.34774834    -0.19980000           (-0.85820637,0.51330480)          (-0.85820637,-0.51330480)              stable
    0.51000000     0.34774834    -0.14985000           (-0.90154004,0.43269570)          (-0.90154004,-0.43269570)              stable
    0.51000000     0.34774834    -0.09990000           (-0.94635051,0.32314195)          (-0.94635051,-0.32314195)              stable
    0.51000000     0.34774834    -0.04995000           (-0.99283157,0.11952187)          (-0.99283157,-0.11952187)              stable
    0.51000000     0.34774834     0.00000000           (-1.33125131,0.00000000)           (-0.75117297,0.00000000)            unstable
    0.51000000     0.34774834     0.04995000           (-1.52988604,0.00000000)           (-0.65364346,0.00000000)            unstable
    0.51000000     0.34774834     0.09990000           (-1.70213620,0.00000000)           (-0.58749705,0.00000000)            unstable
    0.51000000     0.34774834     0.14985000           (-1.86547128,0.00000000)           (-0.53605757,0.00000000)            unstable
    0.51000000     0.34774834     0.19980000           (-0.49338876,0.00000000)           (-2.02679933,0.00000000)            unstable
    0.51000000     0.34774834     0.24975000           (-2.19024576,0.00000000)           (-0.45656977,0.00000000)            unstable
    0.51000000     0.34774834     0.29970000           (-2.35901927,0.00000000)           (-0.42390497,0.00000000)            unstable
    0.51000000     0.34774834     0.34965000           (-2.53614448,0.00000000)           (-0.39429930,0.00000000)            unstable
    0.51000000     0.34774834     0.39960000           (-0.36698722,0.00000000)           (-2.72489050,0.00000000)            unstable
    0.51000000     0.34774834     0.44955000           (-2.92914349,0.00000000)           (-0.34139673,0.00000000)            unstable
    0.51000000     0.34774834     0.49950000           (-0.31707281,0.00000000)           (-3.15384974,0.00000000)            unstable
    0.51000000     0.34774834     0.54945000           (-3.40565378,0.00000000)           (-0.29362938,0.00000000)            unstable
    0.51000000     0.34774834     0.59940000           (-0.27071465,0.00000000)           (-3.69392641,0.00000000)            unstable
    0.51000000     0.34774834     0.64935000           (-4.03256177,0.00000000)           (-0.24798132,0.00000000)            unstable
    0.51000000     0.34774834     0.69930000           (-0.22505412,0.00000000)           (-4.44337567,0.00000000)            unstable
    0.51000000     0.34774834     0.74925000           (-4.96314861,0.00000000)           (-0.20148500,0.00000000)            unstable
    0.51000000     0.34774834     0.79920000           (-5.66006199,0.00000000)           (-0.17667651,0.00000000)            unstable
    0.51000000     0.34774834     0.84915000           (-6.67901461,0.00000000)           (-0.14972268,0.00000000)            unstable
    0.51000000     0.34774834     0.89910000           (-0.11899637,0.00000000)           (-8.40361798,0.00000000)            unstable
    0.51000000     0.34774834     0.94905000          (-12.40387965,0.00000000)           (-0.08061994,0.00000000)            unstable
    0.51000000     0.34774834     0.99900000           (-0.00816331,0.00000000)         (-122.49937962,0.00000000)            unstable
    0.51000000     0.34774834     1.00100000           (-0.00818653,0.00000000)         (-122.15187581,0.00000000)            unstable
    0.51000000     0.34774834     1.06099000          (-10.48000740,0.00000000)           (-0.09541978,0.00000000)            unstable
    0.51000000     0.34774834     1.12098000           (-6.88994892,0.00000000)           (-0.14513896,0.00000000)            unstable
    0.51000000     0.34774834     1.18097000           (-0.18583654,0.00000000)           (-5.38107305,0.00000000)            unstable
    0.51000000     0.34774834     1.24096000           (-0.22140042,0.00000000)           (-4.51670333,0.00000000)            unstable
    0.51000000     0.34774834     1.30095000           (-0.25342101,0.00000000)           (-3.94600281,0.00000000)            unstable
    0.51000000     0.34774834     1.36094000           (-3.53660894,0.00000000)           (-0.28275674,0.00000000)            unstable
    0.51000000     0.34774834     1.42093000           (-3.22638088,0.00000000)           (-0.30994481,0.00000000)            unstable
    0.51000000     0.34774834     1.48092000           (-0.33535430,0.00000000)           (-2.98192094,0.00000000)            unstable
    0.51000000     0.34774834     1.54091000           (-0.35925560,0.00000000)           (-2.78353354,0.00000000)            unstable
    0.51000000     0.34774834     1.60090000           (-0.38185625,0.00000000)           (-2.61878653,0.00000000)            unstable
    0.51000000     0.34774834     1.66089000           (-2.47941293,0.00000000)           (-0.40332128,0.00000000)            unstable
    0.51000000     0.34774834     1.72088000           (-0.42378557,0.00000000)           (-2.35968393,0.00000000)            unstable
    0.51000000     0.34774834     1.78087000           (-0.44336182,0.00000000)           (-2.25549416,0.00000000)            unstable
    0.51000000     0.34774834     1.84086000           (-0.46214596,0.00000000)           (-2.16381854,0.00000000)            unstable
    0.51000000     0.34774834     1.90085000           (-0.48022092,0.00000000)           (-2.08237493,0.00000000)            unstable
    0.51000000     0.34774834     1.96084000           (-0.49765938,0.00000000)           (-2.00940652,0.00000000)            unstable
    0.51000000     0.34774834     2.02083000           (-0.51452584,0.00000000)           (-1.94353698,0.00000000)            unstable
    0.51000000     0.34774834     2.08082000           (-1.88367118,0.00000000)           (-0.53087822,0.00000000)            unstable
    0.51000000     0.34774834     2.14081000           (-0.54676907,0.00000000)           (-1.82892569,0.00000000)            unstable
    0.51000000     0.34774834     2.20080000           (-1.77857886,0.00000000)           (-0.56224665,0.00000000)            unstable
    0.51000000     0.34774834     2.26079000           (-0.57735573,0.00000000)           (-1.73203444,0.00000000)            unstable
    0.51000000     0.34774834     2.32078000           (-1.68879451,0.00000000)           (-0.59213835,0.00000000)            unstable
    0.51000000     0.34774834     2.38077000           (-0.60663450,0.00000000)           (-1.64843907,0.00000000)            unstable
    0.51000000     0.34774834     2.44076000           (-0.62088264,0.00000000)           (-1.61061035,0.00000000)            unstable
    0.51000000     0.34774834     2.50075000           (-0.63492037,0.00000000)           (-1.57500065,0.00000000)            unstable
    0.51000000     0.34774834     2.56074000           (-0.64878500,0.00000000)           (-1.54134266,0.00000000)            unstable
