         alpha           beta              h                       eigenvalue_1                       eigenvalue_2    stability_status
    0.50000000     0.34333333    -0.99900000           (-0.26736668,0.96359486)          (-0.26736668,-0.96359486)              stable
    0.50000000     0.34333333    -0.49950000           (-0.59819132,0.80135332)          (-0.59819132,-0.80135332)              stable
    0.50000000     0.34333333     0.00000000           (-1.00000030,0.00000000)           (-0.99999970,0.00000000)    double_minus_one
    0.50000000     0.34333333     0.49950000           (-2.98075786,0.00000000)           (-0.33548515,0.00000000)            unstable
    0.50000000     0.34333333     0.99900000           (-0.00876718,0.00000000)         (-114.06169908,0.00000000)            unstable
    0.50000000     0.34333333     1.00100000         (-113.74963023,0.00000000)           (-0.00879124,0.00000000)            unstable
    0.50000000     0.34333333     2.50075000           (-0.68172728,0.00000000)           (-1.46686223,0.00000000)            unstable
    0.50000000     0.34333333     4.00050000           (-0.96050264,0.27827088)          (-0.96050264,-0.27827088)              stable
    0.50000000     0.34333333     5.50025000           (-0.92963145,0.36849067)          (-0.92963145,-0.36849067)              stable
    0.50000000     0.34333333     7.00000000           (-0.91680394,0.39933763)          (-0.91680394,-0.39933763)              stable
    0.50000000     0.50500000    -0.99900000           (-0.61468999,0.78876880)          (-0.61468999,-0.78876880)              stable
    0.50000000     0.50500000    -0.49950000           (-0.75087222,0.66044751)          (-0.75087222,-0.66044751)              stable
    0.50000000     0.50500000     0.00000000           (-1.00000020,0.00000000)           (-0.99999980,0.00000000)    double_minus_one
    0.50000000     0.50500000     0.49950000           (-0.34095639,0.00000000)           (-2.93292639,0.00000000)            unstable
    0.50000000     0.50500000     0.99900000           (-0.00371570,0.00000000)         (-269.12833395,0.00000000)            unstable
    0.50000000     0.50500000     1.00100000         (-268.93321936,0.00000000)           (-0.00371840,0.00000000)            unstable
    0.50000000     0.50500000     2.50075000           (-1.94326437,0.00000000)           (-0.51459802,0.00000000)            unstable
    0.50000000     0.50500000     4.00050000           (-1.49377785,0.00000000)           (-0.66944359,0.00000000)            unstable
    0.50000000     0.50500000     5.50025000           (-0.74909738,0.00000000)           (-1.33493993,0.00000000)            unstable
    0.50000000     0.50500000     7.00000000           (-0.79782820,0.00000000)           (-1.25340267,0.00000000)            unstable
    0.50000000     0.66666667    -0.99900000           (-0.83837951,0.54508697)          (-0.83837951,-0.54508697)              stable
    0.50000000     0.66666667    -0.49950000           (-0.86568673,0.50058614)          (-0.86568673,-0.50058614)              stable
    0.50000000     0.66666667     0.00000000           (-0.99999990,0.00000000)           (-1.00000010,0.00000000)    double_minus_one
    0.50000000     0.66666667     0.49950000           (-2.70200162,0.00000000)           (-0.37009600,0.00000000)            unstable
    0.50000000     0.66666667     0.99900000         (-481.68220517,0.00000000)           (-0.00207606,0.00000000)            unstable
    0.50000000     0.66666667     1.00100000         (-481.87889112,0.00000000)           (-0.00207521,0.00000000)            unstable
    0.50000000     0.66666667     2.50075000           (-0.66745545,0.00000000)           (-1.49822733,0.00000000)            unstable
    0.50000000     0.66666667     4.00050000           (-0.92509366,0.37973900)          (-0.92509366,-0.37973900)              stable
    0.50000000     0.66666667     5.50025000           (-0.88301594,0.46934300)          (-0.88301594,-0.46934300)              stable
    0.50000000     0.66666667     7.00000000           (-0.86562326,0.50069588)          (-0.86562326,-0.50069588)              stable
    0.50000000     0.82833333    -0.99900000           (-0.96034771,0.27880508)          (-0.96034771,-0.27880508)              stable
    0.50000000     0.82833333    -0.49950000           (-0.94671523,0.32207184)          (-0.94671523,-0.32207184)              stable
    0.50000000     0.82833333     0.00000000           (-1.00000011,0.00000000)           (-0.99999989,0.00000000)    double_minus_one
    0.50000000     0.82833333     0.49950000           (-0.44896768,0.00000000)           (-2.22733182,0.00000000)            unstable
    0.50000000     0.82833333     0.99900000           (-0.00168747,0.00000000)         (-592.60202234,0.00000000)            unstable
    0.50000000     0.82833333     1.00100000         (-592.77090156,0.00000000)           (-0.00168699,0.00000000)            unstable
    0.50000000     0.82833333     2.50075000           (-0.45624432,0.88985455)          (-0.45624432,-0.88985455)              stable
    0.50000000     0.82833333     4.00050000           (-0.33362051,0.94270746)          (-0.33362051,-0.94270746)              stable
    0.50000000     0.82833333     5.50025000           (-0.30111900,0.95358657)          (-0.30111900,-0.95358657)              stable
    0.50000000     0.82833333     7.00000000           (-0.28771098,0.95771728)          (-0.28771098,-0.95771728)              stable
    0.50000000     0.99000000    -0.99900000           (-0.99986999,0.01612488)          (-0.99986999,-0.01612488)              stable
    0.50000000     0.99000000    -0.49950000           (-0.99774770,0.06707849)          (-0.99774770,-0.06707849)              stable
    0.50000000     0.99000000     0.00000000           (-1.00000002,0.00000000)           (-0.99999998,0.00000000)    double_minus_one
    0.50000000     0.99000000     0.49950000           (-1.24300627,0.00000000)           (-0.80450117,0.00000000)            unstable
    0.50000000     0.99000000     0.99900000          (-78.06083925,0.00000000)           (-0.01281052,0.00000000)            unstable
    0.50000000     0.99000000     1.00100000          (-74.57060325,0.00000000)           (-0.01341011,0.00000000)            unstable
    0.50000000     0.99000000     2.50075000            (0.88691610,0.46193054)           (0.88691610,-0.46193054)              stable
    0.50000000     0.99000000     4.00050000            (0.89729496,0.44143148)           (0.89729496,-0.44143148)              stable
    0.50000000     0.99000000     5.50025000            (0.90003052,0.43582686)           (0.90003052,-0.43582686)              stable
    0.50000000     0.99000000     7.00000000            (0.90115710,0.43349266)           (0.90115710,-0.43349266)              stable
